iter	Passed	Remaining
409	3728	41745
410	3739	41756
411	3750	41768
412	3762	41784
413	3774	41806
414	3790	41875
415	3802	41905
416	3815	41939
417	3828	41962
418	3840	41983
419	3855	42040
420	3868	42075
421	3879	42090
422	3891	42103
423	3904	42136
424	3919	42197
425	3935	42260
426	3951	42318
427	3965	42355
428	3977	42379
429	3990	42406
430	4003	42438
431	4018	42492
432	4032	42535
433	4045	42558
434	4055	42557
435	4069	42600
436	4083	42639
437	4098	42686
438	4109	42700
439	4121	42717
440	4134	42740
441	4149	42792
442	4163	42831
443	4175	42846
444	4187	42860
445	4200	42887
446	4214	42923
447	4226	42945
448	4235	42928
449	4251	42987
450	4271	43086
451	4285	43124
452	4298	43146
453	4310	43163
454	4321	43171
455	4332	43176
456	4346	43204
457	4359	43235
458	4372	43255
459	4381	43240
460	4392	43253
461	4407	43289
462	4415	43272
463	4428	43288
464	4439	43293
465	4449	43295
466	4462	43312
467	4476	43346
468	4489	43377
469	4500	43375
470	4509	43361
471	4521	43378
472	4530	43361
473	4542	43374
474	4555	43394
475	4565	43393
476	4575	43387
477	4587	43399
478	4598	43402
479	4607	43388
480	4619	43399
481	4628	43386
482	4638	43378
483	4648	43372
484	4659	43375
485	4676	43439
486	4691	43478
487	4706	43514
488	4721	43559
489	4751	43734
490	4767	43780
491	4806	44043
492	4831	44166
493	4846	44205
494	4872	44343
495	4909	44582
496	4930	44670
497	4949	44742
498	4965	44792
499	4984	44862
500	5003	44930
501	5027	45049
502	5045	45110
503	5060	45147
504	5073	45161
505	5088	45192
506	5100	45198
507	5114	45221
508	5128	45246
509	5142	45270
510	5153	45270
511	5166	45287
512	5181	45322
513	5194	45337
514	5206	45343
515	5226	45418
516	5241	45450
517	5257	45488
518	5274	45543
519	5291	45590
520	5304	45598
521	5315	45600
522	5326	45595
523	5337	45592
524	5346	45571
525	5361	45600
526	5375	45622
527	5388	45640
528	5398	45628
529	5410	45629
530	5421	45630
531	5433	45630
532	5442	45615
533	5453	45605
534	5463	45596
535	5473	45585
536	5486	45594
537	5496	45588
538	5509	45595
539	5521	45602
540	5533	45608
541	5543	45591
542	5555	45601
543	5567	45603
544	5578	45596
545	5591	45610
546	5607	45650
547	5623	45682
548	5634	45685
549	5643	45661
550	5652	45641
551	5662	45625
552	5671	45606
553	5682	45602
554	5692	45594
555	5703	45590
556	5714	45581
557	5722	45556
558	5734	45554
559	5745	45555
560	5754	45536
561	5765	45528
562	5774	45511
563	5785	45502
564	5796	45501
565	5808	45501
566	5819	45498
567	5829	45488
568	5840	45478
569	5851	45474
570	5861	45465
571	5870	45441
572	5879	45424
573	5890	45417
574	5899	45403
575	5916	45442
576	5931	45467
577	5947	45499
578	5962	45526
579	5979	45566
580	5995	45597
581	6019	45696
582	6034	45719
583	6046	45721
584	6061	45743
585	6073	45751
586	6090	45784
587	6099	45765
588	6108	45749
589	6122	45765
590	6133	45757
591	6151	45805
592	6164	45810
593	6177	45819
594	6191	45839
595	6205	45854
596	6224	45909
597	6237	45919
598	6256	45965
599	6270	45983
600	6288	46028
601	6302	46045
602	6320	46085
603	6331	46080
604	6341	46064
605	6349	46042
606	6359	46023
607	6370	46017
608	6379	45996
609	6388	45977
610	6398	45963
611	6408	45951
612	6419	45939
613	6428	45921
614	6437	45903
615	6447	45889
616	6457	45871
617	6467	45857
618	6477	45846
619	6487	45834
620	6498	45821
621	6507	45805
622	6519	45801
623	6527	45778
624	6536	45758
625	6546	45740
626	6557	45731
627	6567	45721
628	6578	45716
629	6589	45708
630	6598	45685
631	6607	45667
632	6617	45653
633	6625	45627
634	6634	45603
635	6643	45584
636	6652	45565
637	6661	45547
638	6671	45527
639	6680	45508
640	6688	45486
641	6698	45468
642	6709	45462
643	6721	45465
644	6732	45457
645	6741	45437
646	6750	45419
647	6760	45404
648	6769	45385
649	6778	45365
650	6788	45352
651	6797	45330
652	6807	45318
653	6816	45299
654	6826	45284
655	6836	45270
656	6846	45255
657	6856	45244
658	6867	45237
659	6877	45222
660	6886	45205
661	6896	45188
662	6906	45181
663	6915	45161
664	6925	45145
665	6935	45132
666	6946	45126
667	6956	45115
668	6965	45096
669	6975	45079
670	6984	45060
671	6993	45041
672	7008	45059
673	7017	45040
674	7026	45021
675	7035	45004
676	7045	44991
677	7056	44979
678	7065	44963
679	7074	44944
680	7083	44922
681	7092	44903
682	7101	44887
683	7112	44881
684	7126	44893
685	7139	44896
686	7151	44899
687	7163	44897
688	7175	44894
689	7186	44888
690	7197	44881
691	7207	44870
692	7218	44862
693	7227	44846
694	7237	44830
695	7248	44825
696	7258	44811
697	7269	44804
698	7280	44794
699	7290	44781
700	7301	44779
701	7313	44774
702	7323	44761
703	7333	44749
704	7344	44745
705	7353	44727
